# Date Range: 20220101-20221231,,,,,,,,,,
# Segments: ,,,,,,,,,,
"# Metrics: ""analytics.totalVisitors, analytics.newVisits, analytics.visits, analytics.bounceRate, analytics.avgPageviews, analytics.avgSessionTime, analytics.transactionsPerVisit, analytics.transactions, analytics.transactionRevenue""",,,,,,,,,,
"# Dimensions: ""analytics.medium, analytics.country""",,,,,,,,,,
# Metric Filters: ,,,,,,,,,,
# Dimension Filters: ,,,,,,,,,,
Medium,Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
(none),Lebanon,6252,5916,10171,0.4261134598,4.101169993,251.3988792,0.005309212467,54,16070.95
paid-social,Argentina,6228,6224,6938,0.9358604785,1.111991929,15.22052465,0,0,0
(not set),Thailand,6217,4597,13649,0.1937870906,1.23862554,124.6390944,0.00534837717,73,16513.33101
email,Turkey,6176,3476,12745,0.585092193,2.484582189,183.3731659,0.006904668497,88,24335.19391
display,United States,6172,5821,7847,0.1891168599,1.929144896,38.91397986,0,0,0
organic,Iceland,6137,2539,17934,0.1943236311,4.673859708,366.5668005,0.01444184231,259,76766.06347
email,Switzerland,6129,4077,11562,0.5524130773,2.328489881,163.4358243,0.005275903823,61,26691.58991
(none),Tunisia,6006,5505,16060,0.4669364882,3.299750934,527.2344956,0.002864259029,46,12630.18194
email,Belgium,5920,3437,13243,0.5119685872,2.698029147,203.0053613,0.007626670694,101,24086.23
cpc,Belarus,5845,5004,8813,0.3956654942,4.654601157,187.2991036,0.006808124362,60,14131.15349
s-cpm,Switzerland,5809,5218,6983,0.8225690964,1.385507661,35.65716741,0.0001432049262,1,44
s-cpm,United Arab Emirates,5808,5279,6939,0.8557429024,1.369649805,33.33088341,0,0,0
tram,Austria,5806,3741,12946,0.6843040321,1.972192183,148.4400587,0.001544878727,20,3367.86
(not set),Netherlands,5776,4011,11963,0.08760344395,0.7913566831,186.0325169,0.003427233971,41,9658.98
(none),Uruguay,5765,5581,8465,0.4782043709,3.589486119,263.0033077,0.006261075015,53,19185.51044
tram,Portugal,5749,2993,14567,0.6324569232,2.634104483,199.4847257,0.006315644951,92,11862.85
cpc,Kosovo,5722,5214,8112,0.3232248521,4.732741617,146.8932446,0.005547337278,45,12961.37
cpc,Jordan,5709,4739,10297,0.2792075362,6.023016413,239.6113431,0.006506749539,67,19774.37
(none),Iraq,5700,5449,8134,0.5001229407,3.739611507,205.2085075,0.003565281534,29,17063.45
cpc,Kenya,5684,5046,7768,0.3298146241,4.3126931,181.1687693,0.01609165808,125,21227.43977
